track_id,track_name,artist_s_name,artist_count,released_year,released_month,released_day,release_date_concat,in_spotify_playlists,in_spotify_charts,streams,in_shazam_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,soma_playlists,count_music_artsolo,bpm_categoria,danceability_categoria,valence_categoria,energy_categoria,acousticness_categoria,instrumentalness_categoria,liveness_categoria,speechiness_categoria
4552573,In The End,Linkin Park,1,2000,10,24,2000-10-24,25065,6,1624165576,0,63,0,6808,2,105,55,40,90,1,0,32,6,31936,2,baixa,baixa,baixa,alta,baixa,baixa,alta,alta
1486311,Till I Collapse,Eminem Nate Dogg,2,2002,5,26,2002-05-26,22923,0,1695712020,0,78,46,2515,1,171,55,10,85,7,0,8,20,25516,0,alta,baixa,baixa,alta,baixa,baixa,baixa,alta
4238748,Superman,Eminem Dina Rae,2,2002,5,26,2002-05-26,7615,14,655466831,0,18,51,1005,0,130,80,64,76,2,0,20,6,8638,0,alta,alta,alta,alta,baixa,baixa,alta,alta
7890756,The Scientist,Coldplay,1,2002,8,5,2002-08-05,30992,6,1608164312,0,124,25,7827,1,146,56,21,44,73,0,11,2,38943,3,alta,baixa,baixa,baixa,alta,baixa,baixa,baixa
4918126,In Da Club,50 Cent,1,2002,1,1,2002-01-01,30427,7,1202722675,35,235,106,5221,1,90,90,79,71,26,0,7,37,35883,1,baixa,alta,alta,alta,alta,alta,baixa,alta
1663974,Without Me,Eminem,1,2002,1,1,2002-01-01,21081,43,1687664027,0,98,76,3889,5,112,92,67,66,0,0,36,9,25068,4,baixa,alta,alta,alta,baixa,alta,alta,alta
6766942,Lose Yourself  Soundtrack Version,Eminem,1,2002,1,1,2002-01-01,32502,21,1829992958,51,247,54,5567,1,171,70,6,73,1,0,36,26,38316,4,alta,alta,baixa,alta,baixa,alta,alta,alta
1512850,Mr Brightside,The Killers,1,2003,9,23,2003-09-23,51979,15,1806617704,120,306,99,5063,2,148,35,24,93,0,0,10,8,57348,1,alta,baixa,baixa,alta,baixa,baixa,baixa,alta
3049716,Numb,Linkin Park,1,2003,3,24,2003-03-24,20111,5,1361425037,0,39,0,7341,0,110,50,24,86,0,0,64,4,27491,2,baixa,baixa,baixa,alta,baixa,baixa,alta,baixa
7806612,Gasolina,Daddy Yankee,1,2004,7,13,2004-07-13,6457,18,657723613,454,98,95,453,0,96,86,74,80,33,0,8,6,7008,2,baixa,alta,alta,alta,alta,alta,baixa,alta
3412305,Somewhere Only We Know,Keane,1,2004,1,1,2004-01-01,20015,16,1089402494,558,107,69,5239,0,172,45,33,59,6,0,8,3,25361,1,alta,baixa,baixa,baixa,baixa,alta,baixa,baixa
2394886,Mockingbird,Eminem,1,2004,1,1,2004-01-01,12985,61,1241559043,204,49,98,2394,5,84,62,24,67,21,0,13,28,15428,4,baixa,baixa,baixa,alta,alta,alta,alta,alta
1840761,Yo Voy feat Daddy Yankee,Zion  Lennox,1,2004,5,4,2004-05-04,2954,2,527033089,5,18,82,0,0,95,81,56,70,4,0,5,24,2972,1,baixa,alta,alta,alta,baixa,baixa,baixa,alta
